time,height_delta,beta
321.6646664991109,2,0.45
322.74647088941583,1,0.45
322.8847051569979,1,0.45
323.13296984306214,1,0.45
323.16255310149967,1,0.45
323.46908866888236,0,0.45
323.84632837238235,0,0.45
324.0954560037562,0,0.45
324.6512978714463,0,0.45
324.8498134923194,1,0.45
325.70069202940397,0,0.45
327.0539567133956,0,0.45
327.4860627007168,0,0.45
327.54769049679135,0,0.45
327.8354627172145,0,0.45
328.0047797288318,0,0.45
329.6924494673128,0,0.45
330.5821963003723,0,0.45
332.3993896057005,0,0.45
332.96924974086573,1,0.45
333.23948045200143,0,0.45
333.29054133012124,0,0.45
335.2901779705474,0,0.45
335.70635031472347,0,0.45
336.7676058945336,0,0.45
337.50885898299885,1,0.45
337.79477345962584,0,0.45
339.4433812549295,1,0.45
339.96154673879624,0,0.45
340.00025305570404,0,0.45
340.46566277439564,0,0.45
340.98191558399816,0,0.45
341.13744954424953,0,0.45
342.97765189276794,0,0.45
343.0427955351586,0,0.45
343.97487231825875,1,0.45
344.69639337866323,2,0.45
347.00856452653005,1,0.45
349.1816547789982,2,0.45
349.28519156739446,1,0.45
350.145614765622,0,0.45
350.21592076779524,0,0.45
350.7835735155979,0,0.45
351.16764495776386,1,0.45
352.2061086465023,0,0.45
353.52215137741285,0,0.45
353.83428941682917,0,0.45
353.8471492946158,1,0.45
355.1889895918168,0,0.45
355.6248766574618,0,0.45
356.0525155519349,1,0.45
356.6609412318443,0,0.45
356.8350729729283,1,0.45
359.23563046508673,0,0.45
359.29251175793905,0,0.45
359.52899558667326,0,0.45
360.4159793959219,0,0.45
361.6380761155033,1,0.45
362.9390988971721,2,0.45
363.39263925608094,3,0.45
365.22826786509194,4,0.45
366.39350756392366,3,0.45
366.80691130064275,4,0.45
369.28284742227913,5,0.45
369.6796985381062,4,0.45
369.8595766593672,5,0.45
370.1112723779207,5,0.45
370.31976060885796,6,0.45
370.9521194829995,7,0.45
371.1006500052173,6,0.45
371.8584992139851,5,0.45
372.7564148461274,6,0.45
373.7286840867803,5,0.45
373.80387870217254,6,0.45
374.4758077215758,5,0.45
375.63957701683864,4,0.45
376.22923150173716,3,0.45
377.45331983433016,4,0.45
377.87176817263605,5,0.45
378.0987586954306,6,0.45
378.52631224465995,5,0.45
378.635939327617,6,0.45
380.3531398041062,5,0.45
384.2632468422198,4,0.45
384.3155614783903,4,0.45
384.3169031390897,5,0.45
384.35922644560833,6,0.45
384.6205859933489,6,0.45
386.495156397062,5,0.45
391.67311555140265,4,0.45
391.7344121637051,4,0.45
392.98009193374065,5,0.45
393.0667622615479,6,0.45
393.5011042582116,5,0.45
393.58555830323047,5,0.45
393.60554661317656,5,0.45
394.9765865147285,4,0.45
395.5101562525248,3,0.45
396.4306855148265,4,0.45
396.6175909877665,3,0.45
397.0245464345115,4,0.45
397.628098901061,3,0.45
397.6643194287852,3,0.45
398.2223525352706,2,0.45
398.4328816448881,2,0.45
398.56046400004783,3,0.45
398.8385987748451,4,0.45
398.99146801532123,3,0.45
399.0046634302092,3,0.45
399.21445828012077,3,0.45
399.34540672457484,3,0.45
399.5826990703823,2,0.45
400.35944158884143,1,0.45
401.81924082916487,0,0.45
403.53352215252954,0,0.45
404.1766092978884,0,0.45
404.87625762135906,0,0.45
405.0267147060211,1,0.45
405.4046606343388,0,0.45
405.49800536710814,0,0.45
406.4066062630433,0,0.45
406.55291620285055,1,0.45
406.9283354219929,2,0.45
407.0105495588376,3,0.45
407.3128087282091,4,0.45
407.4093355704483,5,0.45
407.430071550484,6,0.45
407.5297772638661,7,0.45
408.25481463082406,8,0.45
409.3600122543306,7,0.45
409.9188281121347,6,0.45
410.1279648084971,6,0.45
410.19489385890034,6,0.45
410.3290250576586,6,0.45
410.3464432839629,6,0.45
410.3580288302983,6,0.45
411.44063070707193,7,0.45
411.65790331711884,6,0.45
411.85300728188275,6,0.45
412.74050397148477,7,0.45
413.06724353541125,8,0.45
413.1273694354894,9,0.45
413.964975087381,10,0.45
414.10654274328766,11,0.45
415.0628829594043,10,0.45
415.11441883861295,11,0.45
415.6787312532131,10,0.45
417.15869879387037,11,0.45
417.4658431735836,12,0.45
417.5399443526034,11,0.45
417.88839872946966,11,0.45
417.9716919828468,11,0.45
418.13889486435517,12,0.45
418.9879727258061,11,0.45
420.2662459607164,10,0.45
420.42918052745995,10,0.45
420.75014307567426,11,0.45
421.4855570066844,10,0.45
421.54494548390363,11,0.45
421.8746958611342,12,0.45
421.9415528851416,13,0.45
422.3526190525589,12,0.45
423.81111440770337,11,0.45
425.01438661509786,10,0.45
425.4915511037657,10,0.45
425.7588440248818,9,0.45
427.374255104303,8,0.45
428.0977859403941,7,0.45
428.47044716235814,8,0.45
429.31347431080206,9,0.45
429.31858956879097,8,0.45
429.5385153233026,8,0.45
430.55664806448766,7,0.45
431.820947912044,6,0.45
431.9521918479846,6,0.45
432.81572810999467,7,0.45
432.90664124201663,6,0.45
433.1262877673977,7,0.45
433.35870912744053,7,0.45
437.97992298689235,6,0.45
439.2141679321246,5,0.45
440.43098631783346,4,0.45
440.56493042777896,5,0.45
